county,todays_date,previous_days_covid_confirmed_patients,previous_days_suspected_covid_patients,previous_days_conversion_covid_patients,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Mono,2020-06-03,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,1.0
Shasta,2020-06-04,1.0,0.0,,2.0,0.0,2.0,667.0,0.0,0.0,5.0
Tulare,2020-06-04,35.0,0.0,,39.0,2.0,41.0,920.0,9.0,1.0,3.0
El Dorado,2020-06-04,1.0,6.0,,1.0,5.0,6.0,199.0,1.0,3.0,7.0
Stanislaus,2020-06-04,11.0,5.0,,29.0,16.0,45.0,1369.0,7.0,3.0,78.0
Sonoma,2020-06-05,0.0,33.0,,3.0,69.0,72.0,871.0,2.0,8.0,54.0
Imperial,2020-06-05,52.0,1.0,,79.0,3.0,82.0,237.0,15.0,0.0,7.0
Plumas,2020-06-04,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Marin,2020-06-04,0.0,0.0,,2.0,8.0,10.0,390.0,0.0,3.0,13.0
Merced,2020-06-04,0.0,3.0,,3.0,4.0,7.0,242.0,3.0,0.0,4.0
Los Angeles,2020-06-05,411.0,347.0,,1343.0,519.0,1862.0,22286.0,408.0,103.0,1145.0
Santa Barbara,2020-06-05,8.0,10.0,,29.0,8.0,37.0,717.0,9.0,3.0,82.0
Siskiyou,2020-06-05,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,4.0
Sacramento,2020-06-06,0.0,8.0,,33.0,28.0,61.0,2414.0,15.0,7.0,90.0
Kern,2020-06-06,6.0,11.0,,75.0,32.0,107.0,1645.0,33.0,3.0,89.0
Imperial,2020-06-06,50.0,0.0,,81.0,2.0,83.0,237.0,19.0,0.0,7.0
Nevada,2020-06-01,0.0,1.0,,0.0,1.0,1.0,131.0,0.0,0.0,6.0
San Diego,2020-06-02,143.0,54.0,,297.0,72.0,369.0,6143.0,142.0,16.0,301.0
Santa Clara,2020-06-02,3.0,4.0,,26.0,23.0,49.0,3318.0,10.0,7.0,177.0
Siskiyou,,,,,0.0,24.0,21.0,646.0,0.0,12.0,24.0
San Bernardino,2020-06-02,52.0,69.0,,156.0,70.0,226.0,4791.0,63.0,13.0,188.0
Orange,2020-06-02,123.0,94.0,,306.0,92.0,398.0,6993.0,130.0,18.0,388.0
Shasta,2020-06-02,1.0,0.0,,1.0,0.0,1.0,667.0,1.0,0.0,6.0
Monterey,2020-06-02,6.0,0.0,,12.0,0.0,12.0,811.0,4.0,0.0,98.0
Calaveras,2020-06-02,0.0,0.0,,1.0,0.0,1.0,50.0,1.0,0.0,8.0
San Mateo,2020-06-02,3.0,2.0,,42.0,17.0,59.0,1096.0,17.0,1.0,31.0
El Dorado,2020-06-02,1.0,5.0,,1.0,7.0,8.0,199.0,1.0,5.0,2.0
Nevada,2020-06-02,0.0,0.0,,0.0,1.0,1.0,135.0,0.0,0.0,7.0
Del Norte,2020-06-02,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,2.0
San Francisco,2020-06-02,18.0,15.0,,43.0,28.0,71.0,2647.0,18.0,8.0,76.0
Colusa,2020-06-03,0.0,1.0,,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Butte,2020-06-03,3.0,1.0,,4.0,0.0,4.0,448.0,0.0,0.0,22.0
Tulare,2020-06-03,28.0,0.0,,37.0,2.0,39.0,920.0,8.0,0.0,6.0
Inyo,2020-06-03,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Fresno,2020-06-03,3.0,11.0,,59.0,38.0,97.0,2126.0,16.0,3.0,88.0
Santa Barbara,2020-06-03,10.0,2.0,,21.0,4.0,25.0,717.0,9.0,1.0,79.0
San Benito,2020-06-03,,,,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Lake,2020-06-03,0.0,0.0,,1.0,0.0,1.0,110.0,0.0,0.0,2.0
Sutter,2020-06-03,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Kings,2020-06-03,2.0,2.0,,32.0,0.0,32.0,199.0,7.0,0.0,2.0
San Bernardino,2020-06-04,54.0,56.0,,168.0,70.0,238.0,4821.0,66.0,15.0,169.0
Kern,2020-06-04,8.0,6.0,,62.0,14.0,76.0,1756.0,34.0,1.0,78.0
Butte,2020-06-04,2.0,0.0,,4.0,0.0,4.0,448.0,0.0,0.0,22.0
Orange,2020-06-04,81.0,96.0,,300.0,110.0,410.0,6993.0,123.0,18.0,393.0
San Francisco,2020-06-04,11.0,19.0,,41.0,21.0,62.0,2647.0,15.0,4.0,87.0
Nevada,2020-06-04,0.0,1.0,,0.0,0.0,0.0,125.0,0.0,0.0,5.0
San Mateo,2020-06-04,0.0,2.0,,35.0,18.0,53.0,1101.0,11.0,3.0,48.0
Mendocino,2020-06-04,0.0,0.0,,1.0,0.0,1.0,180.0,1.0,1.0,2.0
Kings,2020-06-04,,,,33.0,0.0,33.0,199.0,7.0,0.0,3.0
Del Norte,2020-06-04,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,1.0
San Benito,2020-06-04,,,,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Trinity,2020-06-04,,2.0,,0.0,1.0,1.0,54.0,0.0,0.0,
San Diego,2020-06-05,105.0,69.0,,299.0,69.0,368.0,6190.0,137.0,16.0,320.0
San Bernardino,2020-06-05,51.0,36.0,,180.0,63.0,243.0,4807.0,61.0,14.0,140.0
Riverside,2020-06-05,78.0,81.0,,228.0,98.0,326.0,4023.0,75.0,24.0,129.0
Marin,2020-06-05,1.0,0.0,,2.0,9.0,11.0,390.0,0.0,0.0,16.0
Alameda,2020-06-05,15.0,36.0,,82.0,68.0,150.0,2968.0,30.0,10.0,154.0
Kings,2020-06-05,1.0,5.0,,31.0,0.0,31.0,199.0,7.0,0.0,1.0
Nevada,2020-06-05,0.0,0.0,,0.0,2.0,2.0,130.0,0.0,0.0,4.0
El Dorado,2020-06-03,1.0,7.0,,1.0,6.0,7.0,199.0,1.0,5.0,10.0
El Dorado,2020-06-05,1.0,5.0,,2.0,3.0,5.0,199.0,2.0,1.0,8.0
Plumas,2020-06-05,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Tulare,2020-06-05,34.0,0.0,,39.0,2.0,41.0,920.0,7.0,0.0,8.0
Mariposa,2020-06-05,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
Lassen,2020-06-05,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,
Solano,2020-06-05,8.0,17.0,,13.0,20.0,33.0,707.0,5.0,0.0,45.0
Stanislaus,2020-06-05,11.0,2.0,,25.0,14.0,39.0,1249.0,8.0,1.0,76.0
Kern,2020-06-05,10.0,7.0,,62.0,16.0,78.0,1756.0,33.0,1.0,80.0
Santa Cruz,2020-06-05,1.0,3.0,,2.0,3.0,5.0,397.0,1.0,0.0,9.0
Amador,2020-06-05,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Tehama,2020-06-05,0.0,1.0,,0.0,0.0,0.0,106.0,0.0,0.0,4.0
Santa Clara,2020-06-06,0.0,6.0,,41.0,32.0,73.0,3375.0,16.0,7.0,202.0
Humboldt,2020-06-06,0.0,0.0,,1.0,4.0,5.0,278.0,0.0,0.0,2.0
Shasta,,,,0.0,4.0,10.0,2.0,2830.0,2.0,0.0,45.0
Trinity,,,,,0.0,0.0,0.0,216.0,0.0,0.0,
Santa Cruz,,0.0,0.0,0.0,50.0,64.0,80.0,2332.0,14.0,7.0,29.0
Shasta,2020-06-06,0.0,0.0,,0.0,0.0,0.0,657.0,0.0,0.0,8.0
Plumas,2020-06-06,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Butte,2020-06-06,0.0,0.0,,1.0,0.0,1.0,448.0,1.0,0.0,19.0
Tuolumne,2020-06-06,,,,0.0,0.0,0.0,151.0,0.0,0.0,2.0
Napa,2020-06-06,0.0,2.0,,1.0,3.0,4.0,397.0,1.0,0.0,0.0
Humboldt,,0.0,1.0,0.0,17.0,85.0,78.0,3566.0,4.0,10.0,87.0
Riverside,2020-06-02,77.0,80.0,,211.0,94.0,305.0,3979.0,66.0,14.0,127.0
Marin,2020-06-02,1.0,0.0,,1.0,10.0,11.0,390.0,0.0,2.0,17.0
Siskiyou,2020-06-02,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,4.0
Santa Clara,2020-06-03,5.0,3.0,,30.0,27.0,57.0,3318.0,8.0,6.0,184.0
Shasta,2020-06-03,1.0,0.0,,1.0,0.0,1.0,667.0,0.0,0.0,4.0
Imperial,2020-06-03,42.0,2.0,,69.0,4.0,73.0,237.0,17.0,0.0,6.0
Amador,2020-06-03,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Yolo,2020-06-03,0.0,0.0,,0.0,0.0,0.0,186.0,0.0,0.0,3.0
Humboldt,2020-06-03,0.0,4.0,,1.0,5.0,6.0,352.0,0.0,0.0,7.0
Alameda,2020-06-04,14.0,33.0,,82.0,92.0,174.0,2968.0,32.0,9.0,157.0
Yolo,2020-06-04,0.0,1.0,,0.0,0.0,0.0,186.0,0.0,0.0,0.0
Napa,2020-06-04,0.0,1.0,,0.0,3.0,3.0,397.0,0.0,1.0,0.0
Inyo,2020-06-05,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,3.0
Calaveras,2020-06-05,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,10.0
Tuolumne,2020-06-05,,,,1.0,0.0,1.0,151.0,0.0,0.0,2.0
Fresno,2020-06-05,5.0,9.0,,67.0,30.0,97.0,2129.0,16.0,3.0,91.0
Mendocino,2020-06-05,0.0,0.0,,1.0,0.0,1.0,180.0,1.0,0.0,2.0
San Benito,2020-06-05,,,,0.0,0.0,0.0,25.0,0.0,0.0,1.0
Monterey,2020-06-04,3.0,1.0,,13.0,1.0,14.0,811.0,3.0,0.0,95.0
Shasta,2020-06-05,0.0,0.0,,0.0,0.0,0.0,667.0,0.0,0.0,4.0
Modoc,2020-06-05,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Lake,2020-06-05,0.0,0.0,,1.0,0.0,1.0,110.0,0.0,0.0,2.0
San Mateo,2020-06-05,1.0,5.0,,36.0,18.0,54.0,1101.0,8.0,2.0,47.0
Merced,2020-06-05,0.0,1.0,,4.0,1.0,5.0,242.0,2.0,0.0,3.0
Mono,2020-06-05,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Los Angeles,2020-06-06,372.0,288.0,,1304.0,554.0,1858.0,22629.0,399.0,84.0,1196.0
Kern,,,,0.0,176.0,227.0,151.0,3261.0,55.0,23.0,216.0
Sonoma,,0.0,24.0,,39.0,184.0,140.0,4693.0,10.0,31.0,353.0
San Francisco,,,,0.0,337.0,364.0,358.0,7683.0,121.0,63.0,463.0
Orange,2020-06-06,100.0,59.0,,309.0,67.0,376.0,6925.0,137.0,11.0,396.0
Stanislaus,2020-06-06,12.0,1.0,,26.0,9.0,35.0,1319.0,8.0,1.0,69.0
Calaveras,2020-06-06,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,10.0
San Benito,2020-06-06,,,,0.0,0.0,0.0,25.0,0.0,0.0,3.0
Glenn,2020-06-04,0.0,0.0,,0.0,0.0,0.0,47.0,0.0,0.0,
Sacramento,2020-06-04,5.0,10.0,,28.0,33.0,61.0,2423.0,14.0,7.0,103.0
Siskiyou,2020-06-04,0.0,1.0,,0.0,1.0,1.0,65.0,0.0,0.0,5.0
San Luis Obispo,2020-06-05,0.0,1.0,,3.0,3.0,6.0,483.0,2.0,0.0,27.0
San Joaquin,,,,0.0,176.0,114.0,122.0,2489.0,64.0,16.0,128.0
Placer,2020-06-05,2.0,1.0,,11.0,21.0,32.0,753.0,4.0,3.0,49.0
Riverside,2020-06-06,99.0,88.0,,220.0,89.0,309.0,3958.0,72.0,19.0,141.0
Ventura,2020-06-06,14.0,36.0,,33.0,28.0,61.0,1333.0,9.0,8.0,40.0
El Dorado,2020-06-06,2.0,3.0,,1.0,4.0,5.0,199.0,1.0,4.0,8.0
Mariposa,2020-06-06,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
San Joaquin,2020-06-06,16.0,33.0,,30.0,34.0,64.0,1366.0,13.0,3.0,16.0
San Joaquin,2020-06-04,13.0,26.0,,28.0,27.0,55.0,1366.0,12.0,3.0,18.0
Kings,2020-06-06,2.0,,,26.0,1.0,27.0,199.0,9.0,1.0,4.0
Placer,2020-06-06,0.0,2.0,,10.0,24.0,34.0,753.0,4.0,3.0,44.0
Solano,2020-06-06,9.0,17.0,,12.0,16.0,28.0,707.0,4.0,1.0,47.0
Mono,2020-06-06,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Colusa,2020-06-06,0.0,0.0,,0.0,0.0,0.0,88.0,0.0,2.0,4.0
Amador,2020-06-06,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,4.0
Yolo,2020-06-06,0.0,0.0,,0.0,0.0,0.0,186.0,0.0,0.0,2.0
Merced,2020-06-06,1.0,0.0,,5.0,0.0,5.0,242.0,2.0,0.0,4.0
Siskiyou,2020-06-06,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,4.0
Tehama,2020-06-06,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,2.0
Los Angeles,2020-06-08,424.0,400.0,,1424.0,593.0,2017.0,23236.0,424.0,95.0,1273.0
Plumas,2020-06-08,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Sonoma,2020-06-07,1.0,28.0,,5.0,66.0,71.0,830.0,3.0,9.0,32.0
San Joaquin,2020-06-08,11.0,29.0,,43.0,27.0,70.0,1366.0,18.0,5.0,18.0
Monterey,2020-06-08,3.0,0.0,,12.0,0.0,12.0,811.0,3.0,0.0,93.0
Butte,2020-06-08,3.0,0.0,,4.0,0.0,4.0,448.0,2.0,0.0,19.0
Calaveras,2020-06-08,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,10.0
Orange,2020-06-07,103.0,43.0,,319.0,77.0,396.0,6573.0,146.0,18.0,310.0
Shasta,2020-06-08,0.0,0.0,,1.0,0.0,1.0,667.0,0.0,0.0,9.0
Stanislaus,2020-06-08,12.0,4.0,,26.0,13.0,39.0,1369.0,10.0,2.0,78.0
Kern,2020-06-07,9.0,32.0,,83.0,24.0,107.0,1756.0,34.0,4.0,82.0
San Luis Obispo,2020-06-07,0.0,3.0,,3.0,2.0,5.0,454.0,2.0,0.0,25.0
Monterey,2020-06-07,2.0,0.0,,12.0,1.0,13.0,811.0,3.0,0.0,91.0
Madera,2020-06-07,3.0,1.0,,5.0,6.0,11.0,528.0,1.0,1.0,21.0
Santa Cruz,2020-06-07,0.0,0.0,,0.0,0.0,0.0,291.0,0.0,0.0,11.0
Butte,2020-06-07,0.0,0.0,,1.0,0.0,1.0,448.0,1.0,0.0,21.0
Alameda,2020-06-07,13.0,23.0,,92.0,74.0,166.0,2968.0,29.0,11.0,152.0
Sacramento,2020-06-08,1.0,5.0,,37.0,24.0,61.0,2425.0,13.0,10.0,103.0
Lassen,2020-06-08,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,
Santa Barbara,2020-06-07,9.0,3.0,,20.0,3.0,23.0,717.0,6.0,1.0,66.0
Santa Cruz,2020-06-08,1.0,1.0,,1.0,1.0,2.0,397.0,0.0,0.0,17.0
Alameda,2020-06-08,4.0,13.0,,87.0,45.0,132.0,2553.0,29.0,8.0,143.0
San Mateo,2020-06-08,0.0,0.0,,34.0,5.0,39.0,1101.0,5.0,0.0,54.0
Modoc,2020-06-07,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Contra Costa,2020-06-07,10.0,10.0,,23.0,44.0,67.0,1628.0,7.0,5.0,105.0
Santa Barbara,2020-06-08,7.0,3.0,,22.0,6.0,28.0,717.0,8.0,2.0,66.0
Imperial,2020-06-08,58.0,1.0,,85.0,2.0,87.0,237.0,18.0,1.0,6.0
San Mateo,2020-06-07,1.0,0.0,,37.0,20.0,57.0,1101.0,6.0,0.0,55.0
Mendocino,2020-06-07,1.0,2.0,,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Yuba,2020-06-07,,,,5.0,0.0,5.0,445.0,2.0,0.0,10.0
Los Angeles,2020-06-09,426.0,425.0,,1381.0,682.0,2063.0,23093.0,408.0,96.0,1252.0
Plumas,2020-06-09,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Orange,2020-06-09,107.0,55.0,,315.0,69.0,384.0,6976.0,146.0,19.0,390.0
San Bernardino,2020-06-09,41.0,46.0,,205.0,71.0,276.0,4791.0,76.0,18.0,136.0
Colusa,2020-06-09,0.0,1.0,,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Fresno,2020-06-09,7.0,8.0,,68.0,36.0,104.0,2132.0,15.0,1.0,92.0
Marin,2020-06-09,3.0,2.0,,6.0,4.0,10.0,390.0,3.0,1.0,11.0
Madera,2020-06-08,3.0,6.0,,5.0,4.0,9.0,528.0,1.0,1.0,20.0
Santa Barbara,2020-06-09,6.0,5.0,,25.0,7.0,32.0,717.0,7.0,2.0,64.0
Imperial,2020-06-09,60.0,0.0,,83.0,2.0,85.0,212.0,18.0,0.0,2.0
Siskiyou,2020-06-08,0.0,0.0,,0.0,0.0,0.0,65.0,0.0,0.0,6.0
Lake,2020-06-08,0.0,0.0,,0.0,0.0,0.0,110.0,0.0,0.0,4.0
Nevada,2020-06-09,0.0,1.0,,0.0,3.0,3.0,125.0,0.0,2.0,7.0
Stanislaus,2020-06-09,12.0,1.0,,29.0,13.0,42.0,1249.0,13.0,4.0,78.0
Solano,2020-06-09,10.0,25.0,,17.0,25.0,42.0,707.0,5.0,2.0,44.0
Napa,2020-06-08,0.0,2.0,,1.0,6.0,7.0,397.0,1.0,1.0,3.0
Yuba,2020-06-08,1.0,1.0,,5.0,0.0,5.0,445.0,2.0,0.0,17.0
Lake,2020-06-09,0.0,0.0,,0.0,1.0,1.0,110.0,0.0,1.0,1.0
Napa,2020-06-09,0.0,0.0,,0.0,6.0,6.0,397.0,0.0,0.0,1.0
Humboldt,2020-06-09,0.0,2.0,,1.0,8.0,9.0,352.0,0.0,1.0,4.0
Yolo,2020-06-07,0.0,1.0,,0.0,2.0,2.0,186.0,1.0,1.0,2.0
Tuolumne,2020-06-09,,,,0.0,0.0,0.0,151.0,0.0,0.0,3.0
Merced,2020-06-07,0.0,1.0,,5.0,2.0,7.0,242.0,2.0,1.0,4.0
Merced,2020-06-08,0.0,1.0,,5.0,3.0,8.0,242.0,2.0,1.0,5.0
Madera,2020-06-09,4.0,11.0,,6.0,5.0,11.0,528.0,1.0,0.0,20.0
Sutter,2020-06-08,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
San Mateo,2020-06-09,8.0,1.0,,31.0,13.0,44.0,1101.0,6.0,3.0,47.0
Placer,2020-06-09,1.0,3.0,,10.0,12.0,22.0,753.0,2.0,2.0,49.0
San Benito,2020-06-09,,,,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Merced,2020-06-09,0.0,0.0,,4.0,0.0,4.0,242.0,2.0,0.0,4.0
Tehama,2020-06-07,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,1.0
Tehama,2020-06-09,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,5.0
El Dorado,2020-06-09,1.0,5.0,,0.0,3.0,3.0,235.0,0.0,0.0,13.0
Shasta,2020-06-10,0.0,0.0,,1.0,0.0,1.0,667.0,0.0,5.0,4.0
Calaveras,2020-06-10,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,9.0
Monterey,2020-06-10,4.0,0.0,,16.0,0.0,16.0,811.0,3.0,0.0,87.0
Tulare,2020-06-10,27.0,4.0,,38.0,5.0,43.0,780.0,5.0,3.0,10.0
Mariposa,2020-06-10,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
El Dorado,2020-06-10,0.0,3.0,,0.0,1.0,1.0,235.0,0.0,0.0,9.0
Solano,2020-06-10,6.0,17.0,,18.0,15.0,33.0,707.0,4.0,1.0,46.0
Humboldt,2020-06-10,0.0,2.0,,1.0,14.0,15.0,352.0,0.0,1.0,5.0
Amador,2020-06-10,0.0,1.0,,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Del Norte,2020-06-10,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Sutter,2020-06-10,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Lassen,2020-06-10,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,
Del Norte,2020-06-06,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Siskiyou,2020-06-07,0.0,,,0.0,0.0,0.0,65.0,0.0,0.0,5.0
Nevada,2020-06-08,0.0,0.0,,0.0,2.0,2.0,120.0,0.0,1.0,4.0
Sonoma,2020-06-09,0.0,19.0,,5.0,70.0,75.0,871.0,3.0,4.0,49.0
San Benito,2020-06-07,,,,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Mariposa,2020-06-08,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
San Benito,2020-06-08,,,,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Yuba,2020-06-09,,,,4.0,0.0,4.0,445.0,2.0,0.0,14.0
Amador,2020-06-09,0.0,1.0,,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Tehama,2020-06-08,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,5.0
San Diego,2020-06-10,146.0,49.0,,286.0,76.0,362.0,6186.0,135.0,16.0,330.0
Sonoma,2020-06-10,2.0,17.0,,5.0,57.0,62.0,871.0,3.0,4.0,47.0
Butte,2020-06-10,2.0,0.0,,7.0,23.0,30.0,448.0,3.0,6.0,17.0
Nevada,2020-06-10,0.0,1.0,,0.0,2.0,2.0,130.0,0.0,2.0,4.0
Mendocino,2020-06-10,0.0,0.0,,1.0,0.0,1.0,180.0,1.0,0.0,3.0
Mono,2020-06-10,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Lake,2020-06-10,0.0,2.0,,0.0,2.0,2.0,110.0,0.0,0.0,1.0
Yuba,2020-06-10,1.0,,,5.0,1.0,6.0,445.0,2.0,0.0,10.0
Sacramento,2020-06-12,1.0,12.0,,35.0,32.0,67.0,2474.0,13.0,8.0,91.0
Amador,2020-06-12,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Placer,2020-06-12,0.0,1.0,,7.0,8.0,15.0,753.0,1.0,1.0,46.0
El Dorado,2020-06-12,0.0,1.0,,0.0,3.0,3.0,235.0,0.0,3.0,14.0
San Joaquin,2020-06-12,19.0,29.0,,49.0,19.0,68.0,1366.0,16.0,1.0,16.0
Amador,2020-06-11,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,2.0
San Joaquin,2020-06-11,17.0,28.0,,42.0,25.0,67.0,1366.0,15.0,2.0,17.0
Calaveras,2020-06-11,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,8.0
Yolo,2020-06-12,0.0,1.0,,0.0,0.0,0.0,186.0,0.0,0.0,4.0
Merced,2020-06-12,1.0,0.0,,5.0,1.0,6.0,242.0,3.0,0.0,3.0
Fresno,2020-06-11,5.0,16.0,,67.0,32.0,99.0,2142.0,17.0,1.0,79.0
Santa Barbara,2020-06-12,9.0,8.0,,30.0,4.0,34.0,717.0,9.0,0.0,58.0
Mariposa,2020-06-11,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
Merced,2020-06-11,1.0,2.0,,4.0,1.0,5.0,242.0,3.0,0.0,3.0
San Luis Obispo,2020-06-11,0.0,2.0,,2.0,3.0,5.0,481.0,2.0,1.0,24.0
Orange,2020-06-12,91.0,99.0,,311.0,117.0,428.0,6976.0,150.0,27.0,384.0
Santa Barbara,,,,0.0,107.0,59.0,86.0,1318.0,44.0,12.0,185.0
Orange,2020-06-11,106.0,46.0,,325.0,67.0,392.0,6928.0,156.0,16.0,368.0
Santa Clara,2020-06-12,1.0,0.0,,43.0,17.0,60.0,3375.0,17.0,3.0,223.0
Monterey,2020-06-11,2.0,0.0,,17.0,0.0,17.0,811.0,5.0,0.0,85.0
Santa Cruz,2020-06-11,2.0,2.0,,4.0,2.0,6.0,397.0,0.0,0.0,11.0
Imperial,2020-06-12,56.0,0.0,,81.0,1.0,82.0,237.0,16.0,0.0,2.0
Lake,2020-06-12,0.0,2.0,,0.0,2.0,2.0,110.0,0.0,2.0,0.0
Del Norte,2020-06-11,0.0,0.0,,0.0,1.0,1.0,51.0,0.0,0.0,3.0
Alameda,2020-06-12,9.0,21.0,,84.0,42.0,126.0,2968.0,35.0,6.0,120.0
Tulare,2020-06-11,30.0,5.0,,35.0,6.0,41.0,780.0,7.0,0.0,11.0
Contra Costa,2020-06-12,14.0,12.0,,22.0,20.0,42.0,1628.0,10.0,3.0,111.0
Contra Costa,2020-06-11,14.0,9.0,,22.0,29.0,51.0,1628.0,11.0,4.0,112.0
Sacramento,2020-06-13,0.0,14.0,,28.0,23.0,51.0,2444.0,11.0,5.0,84.0
Calaveras,2020-06-13,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,12.0
San Francisco,2020-06-12,20.0,11.0,,41.0,11.0,52.0,2647.0,15.0,1.0,91.0
San Mateo,2020-06-12,8.0,0.0,,22.0,10.0,32.0,1089.0,7.0,1.0,51.0
Tuolumne,2020-06-13,,,,0.0,0.0,0.0,151.0,0.0,0.0,0.0
Fresno,2020-06-13,6.0,15.0,,64.0,34.0,98.0,2078.0,21.0,3.0,83.0
Madera,2020-06-13,5.0,3.0,,6.0,2.0,8.0,528.0,2.0,0.0,8.0
Glenn,2020-06-12,0.0,0.0,,1.0,0.0,1.0,47.0,0.0,0.0,
Lassen,2020-06-11,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,
Shasta,2020-06-11,1.0,0.0,,2.0,0.0,2.0,667.0,0.0,0.0,8.0
Modoc,2020-06-11,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Siskiyou,2020-06-11,0.0,,,0.0,0.0,0.0,31.0,0.0,0.0,4.0
Santa Clara,2020-06-13,1.0,1.0,,35.0,14.0,49.0,3423.0,12.0,3.0,211.0
Monterey,2020-06-13,1.0,0.0,,15.0,3.0,18.0,811.0,2.0,0.0,91.0
Del Norte,2020-06-07,0.0,0.0,,0.0,1.0,1.0,51.0,0.0,1.0,1.0
San Bernardino,2020-06-10,35.0,39.0,,171.0,76.0,247.0,4821.0,75.0,17.0,132.0
San Francisco,2020-06-10,21.0,8.0,,39.0,11.0,50.0,2647.0,14.0,0.0,95.0
Fresno,2020-06-10,9.0,10.0,,67.0,35.0,102.0,2144.0,19.0,4.0,84.0
Imperial,2020-06-10,52.0,1.0,,79.0,0.0,79.0,212.0,16.0,0.0,2.0
Madera,2020-06-10,5.0,7.0,,6.0,5.0,11.0,528.0,3.0,0.0,14.0
Tehama,2020-06-10,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,7.0
El Dorado,2020-06-11,0.0,0.0,,0.0,1.0,1.0,235.0,0.0,1.0,10.0
Mariposa,2020-06-12,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
San Luis Obispo,2020-06-12,0.0,3.0,,2.0,3.0,5.0,471.0,2.0,0.0,24.0
Ventura,2020-06-12,14.0,54.0,,46.0,63.0,109.0,1361.0,12.0,11.0,42.0
